omega,alpha,beta
0.3491368423350204,0.19883346934763793,0.4297262473875708
0.3591980538017267,0.1972467049439636,0.430569561331389
0.3605959789889433,0.20082719114016523,0.4525892787234986
0.3555505606026622,0.20254881286621335,0.44250382645717073
0.35969102625391164,0.22381959539356602,0.4400681773415868
0.3658983197382725,0.20549085430462014,0.4390283367112106
0.3735820785773858,0.20648939037887054,0.426923627098274
0.3814723135291205,0.1912311680610316,0.4237575566218967
0.4010794221088901,0.20102221508159512,0.4226851810891874
0.39783580211660907,0.2188168541918911,0.4207655702765673
0.3871989144943425,0.23396161836016477,0.41694905603215304
0.35659476160621945,0.21655349578421354,0.4139937488824008
0.3510652907364323,0.22821841323916245,0.40995813921050756
0.3559886272464971,0.2531922947937962,0.43062563525596953
0.3604223403806509,0.24753268385546415,0.4193743313599257
0.3580526086967227,0.2523359815633682,0.39838007720825214
0.3450836597008504,0.2534297434661471,0.39504969824233016
0.34318087597260755,0.2825729482979009,0.4010590235597724
0.3509781117137077,0.2613849657238734,0.39269370873697135
0.35081724407599585,0.28617990610240657,0.3987983463826335
0.3509346884431781,0.2680196567707896,0.4132833415951992
0.34082827747167493,0.2574222114511134,0.402205774718989
0.3536359151802059,0.2738565422322903,0.42428991714891723
0.3410985666565421,0.2764798305790417,0.4348745224093347
0.3267645080863838,0.28649366425309786,0.43285569033875143
0.33218422498852396,0.2596455953103717,0.4180756347846706
0.33816326610702074,0.2427526993867544,0.4187681664911807
0.36731095639468764,0.22873237661989995,0.4019275778659892
0.3603108526865,0.23448968964843359,0.4286072403419457
0.36270042562005783,0.22134243611611018,0.42139260549997054
0.38445031129356566,0.22181792849470106,0.4146737689155986
0.3772832100584003,0.23982539514691328,0.41455486673284714
0.3541476817694113,0.24925355097236696,0.4014973731928056
0.36570047638383174,0.23338864453430172,0.4098839786542401
0.38032592044057945,0.22448162981715108,0.40268789266710786
0.3620437482740649,0.23912429997655527,0.4275309505339078
0.358869064842918,0.2462255051913992,0.41300855064504066
0.3594789019622451,0.24354185453720636,0.41705157333474235
0.35778748542509886,0.223540188711636,0.4235066677533792
0.36228489585213425,0.25089148224913405,0.4195740643128346
0.3433575489463662,0.27320540492894607,0.42187523369388547
0.34109646163021023,0.2804870168286166,0.4058239525106619
0.3477423198950593,0.26872266329811184,0.4016913294061858
0.36191152332178866,0.2603708290283075,0.4033499225135409
0.37073832851722816,0.26435719768800076,0.3858239753977725
0.37789380316372295,0.25786329016256243,0.39013933631812053
0.38540268347074874,0.26063093025753914,0.3746927278620587
0.3824167445105019,0.2552121523704055,0.3857276693714268
0.3824906104583845,0.25534395750465194,0.369747623986412
0.38237305651065323,0.24646984607031824,0.3782848290466438
0.3657276510065305,0.2567099823891169,0.3816781656503941
0.36464797545131866,0.26900051931237245,0.3853998115546242
0.38282784436747214,0.2730217826479369,0.38290189392279617
0.3970391628405068,0.27159807270337133,0.36815756111774683
0.39028476344847607,0.24715298244516634,0.3410247871579841
0.3881490418765616,0.22153761418886433,0.36215510790435806
0.3753757707543488,0.22701635446384075,0.3818203503476424
0.3626281459750297,0.23860605341649976,0.4059087231972527
0.34294516738409014,0.26248735826497743,0.4221057885787399
0.3268081465072912,0.2626414494251,0.43297779625611565
0.3311889750618325,0.2632069803631627,0.4347460003479977
0.3399352450616769,0.2533933499782119,0.4332698820698546
0.3456351296534403,0.2534563202063067,0.43901536612340153
0.3201395019899531,0.28549652895258437,0.44441168083318655
0.3357660252129312,0.2778801323352326,0.43171358446503905
0.3449090151364293,0.2556390099508389,0.42919533995660486
0.3473101736456482,0.24764473305975876,0.4196993454114549
0.34627714575542723,0.25073647928900666,0.41144885470539344
0.3840957875422136,0.23703593562098418,0.40138564010628064
0.38594355239244443,0.22802342697339947,0.40638379491850135
